Time,WT_a,WT_s,dB_a,dB_s,dAJ_a,dAJ_s,dBKA_a,dBKA_s
0,0.042133333,0.00482698,0.049506667,0.006578065,0.040026667,0.003648854,0.05688,0.00948
3,0.149573333,0.006578065,0.143253333,0.013156129,0.150626667,0.009653959,0.16432,0.017594135
6,0.263333333,0.010157979,0.269653333,0.032277406,0.38552,0.020721506,0.456093333,0.049596231
9,0.5688,0.032839683,0.62884,0.087572489,0.85636,0.01264,0.74892,0.071152647
12,1.653733333,0.114300015,2.048733333,0.173320551,1.601066667,0.112094662,1.2956,0.087970677
15,2.1172,0.098670968,3.3654,0.087970677,1.585266667,0.036488537,1.269266667,0.065780646
18,2.296266667,0.039762461,4.1238,0.083605741,1.6748,0.054732806,1.300866667,0.122725765
21,2.6386,0.082099208,4.987533333,0.239271338,1.896,0.0948,1.379866667,0.153458051
24,2.965133333,0.118587745,5.4194,0.140433472,2.3542,0.1264,1.479933333,0.27608588
27,3.312733333,0.193079189,5.867066667,0.173320551,3.086266667,0.231314015,1.764333333,0.473297257
30,3.6656,0.134995259,5.935533333,0.112094662,3.781466667,0.096539595,2.285733333,0.710882953
33,4.018466667,0.102801232,5.840733333,0.13804294,4.292333333,0.164451614,2.9388,0.743104084
36,4.287066667,0.277438882,5.914466667,0.018244269,4.9612,0.367498626,3.660333333,0.679461238
39,4.6294,0.192215296,5.745933333,0.087019615,5.1982,0.134995259,4.2976,0.522117688
47,5.092866667,0.170415531,5.519466667,0.092579551,5.1982,0.179453504,5.2614,0.041802871
51,4.892733333,0.134377429,5.408866667,0.055487776,5.235066667,0.032890323,5.256133333,0.039762461
